recall,wrecall,precision,wprecision,pred_node_count,pred_nb_node_count,pred_formula_count,pred_edge_count
0.81560284,0.8683078,0.04358354,0.029195044,1819,795,826,13044
0.56122446,0.9477171,0.01178361,0.010778435,1521,771,1867,13824
0.8068181,0.9581738,0.05606488,0.050284676,2774,1589,2836,18702
0.6923077,0.9507252,0.18944518,0.2255944,321,90,739,5104
0.7619048,0.93671775,0.013461539,0.020465858,853,344,520,7250
0.8372093,0.96597886,0.012183692,0.012543516,2526,935,1067,26632
0.34024897,0.41361758,0.28985506,0.22286755,312,40,138,2268
0.65822786,0.975227,0.052631576,0.041161314,1768,616,836,32662
0.875,0.9986781,0.020408163,0.018560443,1454,504,735,22890
0.4666667,0.98394156,0.0073349634,0.012879467,631,245,409,5132
0.5714286,0.8791839,0.094827585,0.13042594,222,83,116,1304
0.71052635,0.9548994,0.0113528855,0.011612522,2413,1051,1057,25420
0.671875,0.97209543,0.013168086,0.011303705,3376,1299,1291,38592
0.2746479,0.37576514,0.13636364,0.083231926,915,71,198,7528
0.3263889,0.33300412,0.1496063,0.0710586,2161,111,254,18960
0.537037,0.7222992,0.19886364,0.10049956,956,82,176,4884
0.33333334,0.9840195,0.03351955,0.022696754,157,52,179,1196
0.3,0.9008359,0.1509434,0.15083608,70,22,106,474
0.84745765,0.91422194,0.17283951,0.20108055,180,52,162,1442
0.50793654,0.7972464,0.08121827,0.06471415,204,56,197,1546
0.7457627,0.98390776,0.099999994,0.11030844,160,97,200,1154
0.83987916,0.86359143,0.025035014,0.015401199,7074,5480,5712,45536
0.42307693,0.88913655,0.014245015,0.016116593,200,130,351,1524
0.75757575,0.97715634,0.02398524,0.0396647,248,141,542,1980
0.59770113,0.47949922,0.1883469,0.22928768,1145,955,738,5674
0.60117304,0.5750704,0.16483517,0.23243451,988,837,637,4806
0.7839196,0.97486186,0.17798594,0.17501126,641,511,427,3448
0.7016949,0.8532908,0.17576791,0.20381993,1064,679,586,6242
0.736,0.8232856,0.1826484,0.24136661,1378,1099,657,8690
0.8333333,0.98757994,0.15282391,0.21378829,443,332,301,2764
0.8153846,0.98849505,0.15920398,0.18237786,294,171,201,1810
0.8055556,0.78433764,0.18717949,0.26030064,670,531,390,4246
0.67910445,0.95468336,0.12865497,0.15144531,522,402,342,2764
0.83870965,0.99019796,0.16161616,0.18384196,294,169,198,1810
0.5885417,0.58759296,0.14190687,0.14207825,808,625,451,4040
0.76012456,0.7731041,0.2605459,0.33863658,805,596,403,5174
0.85308063,0.9077505,0.21276596,0.26507318,654,508,423,4182
0.8943662,0.9899069,0.06589674,0.04101842,4245,3129,1472,33744
0.7529762,0.80844605,0.2700815,0.3404011,2480,2100,859,17110
0.87356323,0.9955733,0.022342585,0.014055407,3489,2588,1477,23650
0.77931035,0.89489424,0.19162641,0.19940291,1356,1032,621,8602
0.7444445,0.9929996,0.03169014,0.022648131,3929,3316,1420,27258
0.8302583,0.95411265,0.16275167,0.22572795,1180,826,596,9536
0.8219512,0.96827304,0.13871951,0.15316772,1356,1032,656,8602
0.6897322,0.77872896,0.22983257,0.30282342,1630,1311,657,10500
0.77731097,0.87885463,0.23168908,0.29744625,1619,1299,669,10446
0.7684887,0.8675406,0.1900685,0.22340956,1239,962,584,7494
0.88590604,0.9717878,0.025538126,0.011466596,9230,7637,2741,67490
0.6753927,0.957414,0.13062099,0.11866799,864,487,467,4978
